,20_1,20_1_gen,20_2,20_2_gen,20_3,20_3_gen,20_4,20_4_gen,20_5,20_5_gen,20_6,20_6_gen
10,The White Door,어드벤처,A Dance Of Fire and Ice,음악,A Dance Of Fire and Ice,음악,Stardew Valley,롤플레잉,A Dance Of Fire and Ice,음악,Analog Wedding,oto & Video
11,GoodNotes 5,oductivity,Analog Tokyo,oto & Video,킹덤 러쉬 벤전스 (Kingdom Rush Vengeance),전략,유니콘:광고차단 필수 앱,생산성,GoodNotes 5,oductivity,A Dance Of Fire and Ice,음악
12,Analog Brooklyn,oto & Video,GoodNotes 5,oductivity,유니콘:광고차단 필수 앱,생산성,Plague Inc. (전염병 주식회사),시뮬레이션,에버테일,롤플레잉,GoodNotes 5,oductivity
13,유니콘:광고차단 필수 앱,생산성,SleepTown: 건강한 수면 습관 익히기,alth & Fitness,GoodNotes 5,oductivity,Analog Tokyo,oto & Video,Analog Tokyo,oto & Video,Plague Inc. (전염병 주식회사),시뮬레이션
14,Stardew Valley,롤플레잉,레이튼 교수와 이상한 마을 HD,어드벤처,포켓 빌드,시뮬레이션,A Dance Of Fire and Ice,음악,Tallowmere,액션,갓피플성경,도서/참고자료
15,NBA 2K20,스포츠,레이튼 교수와 악마의 상자 모바일 HD 리마스터,어드벤처,Football Manager 2020 Mobile,스포츠,CamScanner+,oductivity,Facetune - 무광고 버전,사진,Analog Tokyo,oto & Video
16,Rebel Inc. (반란 주식회사),시뮬레이션,Analog Brooklyn,oto & Video,미니 메트로,시뮬레이션,Football Manager 2020 Mobile,스포츠,Stardew Valley,롤플레잉,"하루하루 - 필수 시간관리 앱, 위젯으로 간편한 체크",oductivity
17,Spectre 카메라,oto & Video,The White Door,어드벤처,"PLOT - 플롯, 나의 이야기",oto & Video,메몽 Memong,,Plague Inc. (전염병 주식회사),시뮬레이션,Stardew Valley,롤플레잉
18,갓피플성경,도서/참고자료,농구리그 스토리,스포츠,Analog Budapest,oto & Video,@yoojinkim wallpapers,,@yoojinkim wallpapers,,Night of the Full Moon,전략
19,Forest: 집중하기,생산성,Analog Jeju,oto & Video,Analog Brooklyn,oto & Video,Journey,mily,구닥,사진,@yoojinkim wallpapers,
20,SOVS - 촬영부탁 필수앱,사진,Pou,캐주얼 게임,Monument Valley,퍼즐,Hero Siege: 포켓 에디션,롤플레잉,Space Marshals,액션,Slay the Spire,
21,구닥,사진,Getting Over It with Bennett Foddy,시뮬레이션,Facetune - 무광고 버전,사진,Kingdom: New Lands,전략,Juicy Realm,롤플레잉,NBA 2K20,스포츠
22,Geometry Dash,아케이드,Facetune - 무광고 버전,사진,Analog Jeju,oto & Video,Facetune - 무광고 버전,사진,Football Manager 2020 Mobile,스포츠,Facetune - 무광고 버전,사진
23,kirakira+,oto & Video,갓피플성경,도서/참고자료,FocusTimer Pro - 공부 습관이 바뀌는 앱,생산성,구닥,사진,Insaniquarium! Deluxe,,구닥,사진
24,DEEMO,음악,kirakira+,oto & Video,CamScanner+,oductivity,Analog Budapest,oto & Video,포켓 빌드,시뮬레이션,서울 2033 : 후원자,어드벤처
25,Getting Over It with Bennett Foddy,시뮬레이션,@yoojinkim wallpapers,,갓피플성경,도서/참고자료,ilSang Pro,oto & Video,CamScanner+,oductivity,아이언 마린 (Iron Marines),전략
26,CamScanner+,oductivity,NBA 2K20,스포츠,구닥,사진,nPlayer - The best media player,tertainment,갓피플성경,도서/참고자료,CamScanner+,oductivity
27,Facetune - 무광고 버전,사진,DEEMO,음악,SOVS - 촬영부탁 필수앱,사진,갓피플성경,도서/참고자료,Analog Budapest,oto & Video,"PLOT - 플롯, 나의 이야기",oto & Video
28,Analog Budapest,oto & Video,구닥,사진,Analog Seoul,oto & Video,서울 2033 : 후원자,어드벤처,nPlayer - The best media player,tertainment,Pascal s Wager,
