,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01
106,Guns of Glory: 왕을 위한 장대한 군대 구축,"당연시 - 당신도 연애를 시작할 때♡, 미팅/소개팅/동네 친구 찾기",다음웹툰 - DAUM WEBTOON,ANOTHER EDEN 시공을 넘는 고양이,맨트라-원티드,라그나로크M: 시즌2 빛과 그림자,,,,,,
107,Analog Acoustic,Doodle Jump,R-Play - PS4를 위한 리모트 플레이,Marbloid,Bloons TD 5,감성공장,,,,,,
108,"2020 점신 : 무료 오늘의 운세, 사주의 완전판",네이버 웹툰 - Naver Webtoon,신한 쏠(SOL) – 신한은행 스마트폰뱅킹,Cube Escape: Theatre KR,Turbo VPN Private Browser,VPN X,,,,,,
109,붕괴3rd,신삼국지 모바일-코에이 테크모 인증,"사진 편집, 영상 편집,  콜라주 메이커를 하나로! 세계 유일의 어플, Instasize",위피 - 동네 친구가 필요할 때,원피스 트레저 크루즈,FIFA 축구,,,,,,
110,던전공주,사진청소기 - 사진/비디오 중복 삭제 및 앨범 압축,GoodNotes 5,"Jiff - 카메라의 재발견(수동초점, 직관적노출조정)",FiLMiC Pro: 프로 HD 수동 비디오 카메라 어플,Cytus,,,,,,
111,"PASS by U+(구, U+인증)","번개장터 - 모바일 최대 중고마켓 앱(중고나라,중고차)",FLO – 플로,[공식]시외버스 티머니,술게임 - 술자리오락실,코레일톡,,,,,,
112,포트리스M,액스(AxE),SPOTV NOW(스포티비 나우) - 프리미엄 스포츠 생중계,헌드레드 소울,"당연시 - 당신도 연애를 시작할 때♡, 미팅/소개팅/동네 친구 찾기",레이븐 : FESTIVAL,,,,,,
113,AVPlayer (무인코딩 속도조절 자막지원 플레이어),미니 메트로,Membership Widget Pro,던전 서바이벌,To the Moon,용사민박,,,,,,
114,코레일톡,"PASS by U+(구, U+인증)",스누피 틀린그림찾기,지도,뱅크샐러드,Candy Frenzy - Match Sugar,,,,,,
115,꿈의 집 (Homescapes),프렌즈팝콘,갓 오브 하이스쿨,레이드: 그림자의 전설,인공지능 소개팅 애나 - 목소리도 듣고 분석도 하고,로드 모바일: 제국의 전쟁 - MMORPG,,,,,,
116,"지피지기 (사주,운세,궁합,토정비결,이름,해몽)",히트맨 스나이퍼 (Hitman Sniper),Beholder,Hidden Folks,"SevenDays - 한 주의 계획에 집중, 오늘 계획을 위젯에서 보기",마녀의 샘2,,,,,,
117,PicsArt Photo Editor: 콜라주 메이커 & 사진 편집기,SERIES - 네이버 시리즈,KB국민은행 스타뱅킹,"VLLO (구 Vimo / 비모) - 동영상 편집 어플, Vlog 편집 배속 어플",THE CAMP 대국민 국군 소통 서비스,Candy Splash - Blast Sugar,,,,,,
118,음양사,라스트 쉘터 (Last Shelter: Survival),글램 - 모든 매력적인 만남,스피릿위시,신삼국지 모바일-코에이 테크모 인증,Tinder 새로운 친구를 발견해봐,,,,,,
119,Terraria,페이카 뉴욕 Filmlike New York,턴제 SRPG - 세번째기적,턴제 SRPG - 세번째기적,The Room Three,Pirates Outlaws,,,,,,
120,지니 뮤직 - genie,wavve(웨이브) - 재미의 파도를 타다!,SERIES - 네이버 시리즈,마켓컬리-내일의 장보기,라이프애프터,인천e음,,,,,,
121,뮤오리진,컴투스프로야구매니저,글로리,게임이망했다 : 세로로하는RPG게임,아이러브니키,글램 - 모든 매력적인 만남,,,,,,
122,Membership Widget Pro,Reigns: 왕좌의 게임,ilSang Bom - DSLR 필터 카메라,Calculator,The Room: Old Sins,"PLOT - 플롯, 나의 이야기",,,,,,
123,[공식]고속버스 티머니,롯데시네마,지니 뮤직 - genie,콴다 - 400만 다운로드 수학 공부앱,[공식]시외버스 티머니,오늘의집 - 700만이 선택한 No.1 인테리어 필수앱,,,,,,
124,다음웹툰 - DAUM WEBTOON,꿈의 집 (Homescapes),정오의 데이트,천하를 탐하다 : 리마스터,창세기전 : 안타리아의 전쟁,ONE PIECE Bounty Rush,,,,,,
125,Lumino City,로그하츠,감성공장,Bloons TD 6,던전 서바이벌,마녀의 샘3,,,,,,
126,서울 2033,지니 뮤직 - genie,배달통 - 간편하게 시켜먹자!,0한동,지니 뮤직 - genie,브롤스타즈,,,,,,
127,소녀전선,몬스터 길들이기,운명의 사랑:궁,Yu-Gi-Oh! Duel Links,마피아 시티,나루토 X 보루토 닌자 볼테이지,,,,,,
128,Reigns: Her Majesty,Picsew - Photo Stitching Tool,리틀베리숲이야기,FiLMiC Pro: 프로 HD 수동 비디오 카메라 어플,"nPlayer - 무인코딩, 스트리밍 동영상 재생 플레이어",Monument Valley 2,,,,,,
129,롯데 ON - 롯데하이마트,Foodie 푸디 - 일상을 맛있게,카카오버스,공구마켓,"직방 - 2,800만명이 선택한 No.1 부동산 앱(아파트,분양,원룸,오피스텔,빌라,상가)",Nonogram.com - 노노그램 클래식 게임,,,,,,
130,다크레전드,스카이피플 (스피) : 서울대생이 만든 인증을 통한 안전한 소개팅 + 직장인 익명 커뮤니티,삼국지 조운장군전 - 캐주얼 전략 RPG 게임,DRAGON BALL LEGENDS -드래곤 볼 레전즈-,Marvel 올스타 배틀,반지,,,,,,
131,Alphaputt,Just Press Record: Voice and Audio Recorder with Automatic Sync,탐욕의 동굴(The Greedy Cave),킹덤 러쉬 벤전스 (Kingdom Rush Vengeance),MoneyWiz 2 - 개인 금융,GoodNotes 5,,,,,,
132,"Twitch: 리그 오브 레전드, Hearthstone, MMO 게임 스트리밍 라이브 시청",카카오톡 치즈 - 친구와 함께 노는 카톡 카메라,뱅크샐러드,알바천국- 알바 구인구직 포털서비스,"번개장터 - 모바일 최대 중고마켓 앱(중고나라,중고차)",네이버 클라우드 - NAVER Cloud,,,,,,
133,드래곤 스카이 - 슈팅 방치형 RPG,클래시 로얄,인공지능 소개팅 애나 - 목소리도 듣고 분석도 하고,냥코 대전쟁,YouTube Music,천하를 탐하다 : 리마스터,,,,,,
134,용사민박,레플리카 ( Replica ),Terraria,Getting Over It with Bennett Foddy,Reigns,Getting Over It with Bennett Foddy,,,,,,
135,스타벅스,T멤버십,캐시워크 - 적립형 만보기 첫화면,CGV,롯데월드 어드벤처,모바일 관세청,,,,,,
136,MLB 퍼펙트 이닝 2019,풍신,스카이피플 (스피) : 서울대생이 만든 인증을 통한 안전한 소개팅 + 직장인 익명 커뮤니티,아이러브커피,정오의 데이트,프렌즈팝콘,,,,,,
137,Beholder,Cytus,Bloons TD 6,"nPlayer - 무인코딩, 스트리밍 동영상 재생 플레이어",R-Play - PS4를 위한 리모트 플레이,Human Anatomy Atlas 2017 Edition - Complete 3D Human Body,,,,,,
138,CGV,Tinder 새로운 친구를 발견해봐,"Free VPN by VPN Master- Proxy VPN client for WiFi hotspot security, unblock sites, and privacy prote",해피포인트,TheDayBefore (디데이 위젯),아르카,,,,,,
139,하스스톤,붕괴3rd,액스(AxE),몬스터 길들이기,심쿵 소개팅 - 동네 이성친구 사귀기,펜타스톰,,,,,,
140,마녀의 샘3,천하운세 - 운세 사주 토정비결 궁합 꿈해몽 관상 손금 월별운,DRAGON QUEST,The Room: Old Sins,WaterMinder - 수분 섭취 추적 및 알리미 앱,Procreate Pocket,,,,,,
141,T map for SK,아리따움,타임스프레드 - 스마트폰 사용시간 줄일수록 리워드가 쌓이는 첫화면,[공식]고속버스 티머니,MARVEL 퓨처파이트,"번개장터 - 모바일 최대 중고마켓 앱(중고나라,중고차)",,,,,,
142,꿈의 정원 (Gardenscapes),정오의 데이트,소울아크: 시즌2 리유니온,밀리의 서재 - 독서와 무제한 친해지리,버닝: 매지컬소드,"당연시 - 당신도 연애를 시작할 때♡, 미팅/소개팅/동네 친구 찾기",,,,,,
143,Valleys Between,The Room Three,ProCam 2 - 카메라와 사진 / 동영상 에디터,Florence,PL@Y - 프리미엄 티켓북,Living Earth - Clock & Weather,,,,,,
144,V LIVE,Zenly 젠리 - 친한 친구끼리,"L.POINT - 엘포인트 [ 포인트, 멤버십, 적립, 사용, 모바일 카드, 쿠폰, 롯데]",Cube Escape: Seasons KR,알바몬 맞춤알바,"PAYCO - 페이코, 혜택까지 똑똑한 간편결제",,,,,,
145,FIFA 축구,클래시 오브 클랜,몬스터슈퍼리그,꿈의 마을 (Township),아리엘,건쉽배틀 토탈워페어,,,,,,
146,DRAGON QUEST V,Bloons TD 5,Rusty Lake Paradise KR,Procreate Pocket,Ski Safari 2,"지피지기 (사주,운세,궁합,토정비결,이름,해몽)",,,,,,
147,위메프 - 특가대표 (특가 / 쇼핑 / 쇼핑앱 / 쿠폰 / 배송),T world,아이디어스(idus) - 핸드메이드/수공예 장터,AMAZE!,신한페이판,트리플 - 해외여행 가이드,,,,,,
148,불멸강호: 천애신서,"Bigo Live (비고라이브) – 라이브방송, 영상채팅",컴투스프로야구2020,마피아42,헌드레드 소울,아리엘,,,,,,
149,Kingdom Rush Origins,Membership Widget Pro,Puffin Browser Pro,후엠아이: 도로시 이야기,Splendor,To the Moon,,,,,,
